书名,作者,类型,进度,字数,积分,标签,时间,简介
舟山难渡,特仑苏m,原创-言情-古色古香-剧情,连载,50219,1136953,"['强强', '复仇虐渣', '成长', '正剧', '美强惨', '权谋']",2024-12-07,【1v1，救赎向，复仇，偏剧情】【白莲疯批复仇二小姐&黑切黑顺来逆受小公爷】【本文前期铺垫较多，剧情不快但不水文】【一朝过签、毫无防备、只能裸更】雍州守城将军徐惜臣被安上火烧粮草的罪名，徐家男眷全部冤死，两女流放西京为娼。可流放途经落云峰之时，徐家幺女徐霖被官差推入峰底，却意外被西京城西街一家小茶馆的掌柜所救，摇身一变成为周家的痴傻二小姐周禾。周家的痴傻二小姐竟不傻了！卖新茶、逛青楼、杀人放火，这位周二小姐一件不落都干了个遍，顺道还调戏调戏国公府那位腹黑小公爷。“白公子若是拦我，连你也一起烧。”一道报复陷害雍州徐氏的当朝奸佞，一道报复欺负周禾十年的虚伪和尚，真是个厉害角色！舞刀弄枪，明枪暗箭，都是我武将之家的老本行啊！这次我在暗处，做你的活阎王。——————未理会崖边那只吊鬼的求救，周禾搬起角落的一块方岩，重重向下砸去，眼中无半分犹豫。“和尚，你早就该死了，下去向她忏悔吧。”——————雍州城池将破，帝王却待兵不动，信那钦天监狗官说的“高台祈天，天助则城在”的鬼话。好，那我便放火烧了这祭天高台！火势愈烈，却有人隔岸观火。等不到帝王派兵支援，白珩却主动上书自荐。“你做你的活阎王，我做你的刀。”——————忠义之士冤死，罪魁祸首却步步高升，可若雍州徐氏是弃子，那你我是否早就入了局？——————昱卓啊，做君王不是活自己而是活天下。
存心蓄意,只要愿意等,原创-纯爱-近代现代-爱情,完结,222019,1134103,"['情有独钟', '破镜重圆', '甜文', '现代架空', '总裁']",2024-12-15,脑回路清奇缺心眼vs媚眼抛给瞎子看（受）许庭周×（攻）顾凌寒当初许庭周犯下大错，和顾凌寒决裂。分别四年，仇人突然出现在家门口：“不请我进去坐坐？”以为顾凌寒要算账，许庭周诚惶诚恐，从这天起，处处谨小慎微，生怕自己一命呜呼。但人的忍耐也是有限度的，拉拉扯扯一年半，许庭周受不了了，和顾凌寒提出清算恩怨。顾凌寒却恼羞成怒：“我跟你没完。”许庭周不明白顾凌寒为什么发那么大的火，自己又是磕头又是认错，顾凌寒要什么就给什么，这大少爷怎么还是不满意？直到顾凌寒日日夜夜把他当祖宗一样伺候，许庭周才幡然醒悟：“原来你爱我？”他以为顾凌寒恨他恨得要死，其实这仇人对他捧手里怕摔了，含嘴里怕化了。两人从不在一个频道两个都是犟种两个都倔双方好感赶进度许庭周：0%顾凌寒：100%许庭周：1%顾凌寒：1000%顾凌寒：我爱你许庭周：你缺爱？顾凌寒：心疼你许庭周：可怜我？受反射弧长得离谱攻又争又抢处处破防1v1 双洁 俩恋爱脑
对象说我和他小叔是绝配（gb）,老太今年八十八,原创-言情-近代现代-爱情,连载,85090,1133058,"['豪门世家', '恋爱合约', '甜文', '日常', '日久生情', '总裁']",2024-12-05,沈无眠起了分手的念头是在季君临第十次说要自我了断的时候。男人，怎么就能这么脆弱？“我没有一直不回你消息啊！你翻翻记录，我有超过三个小时不回消息吗？”沈无眠嘶吼着喊出这句话，随后意识到必须要和季君临分手。这样的缠人的男人要不得。但问题是季君临是个死缠烂打的货色，和他分手没纠缠几年是解决不了的。“你这种渣女就是和狗男人最配。”看到狗男人这三个字。沈无眠一下想到了季君临的小叔子季如风。于是某天，已经三十岁的季如风就看到个毛茸茸的小孩姐抱这一束花钻进自己的办公室。“你好，结芬～”“因为你侄子说，渣女配狗男，咱俩最配。”季如风从未想过自己有一天会和比自己小快十岁的沈无眠结婚。但作为一个狗男人，季如风主打的就是玩得起。反正是协议结婚，各取所需，就结呗。只是没想到，几个月过后，看着自己身上一身的斑斑点点，青红交错。季如风猛然惊醒，不是说协议结婚吗？你动什么手脚！*季如风有个深藏在心里的秘密。他有皮肤饥渴症。表面上霸道的总裁总是在深夜对拥抱和亲吻极其向往。为了怕人看穿，他从不与人建立亲密关系。然而当沈无眠的手触碰过来。季如风一瞬间感觉自己被治愈。皮肤饥渴症自卑总裁受X 可爱霸道吊炸天小孩姐注：GB向女主是攻！！！！————————————————放一下另一本的文案。《吃一口寡嫂》好消息：兄长死了。特大好消息：兄长死了但嫂嫂还活着。特大特大好消息：嫂嫂是自己的了。张春风长相乖巧漂亮，骨子里却是恶人一个，潜藏在那张秀美长相下的心思全在自己嫂嫂李秀满身上。说来有趣，张春风这嫂嫂是个男人，但张春风却生出了想将人狠狠压下的心思。不禁要狠狠的压下，张春风还计划等自己高中状元后，在京城买一所房子，金屋藏娇将人日日夜夜幽禁于此，最好能当着死去哥哥的遗照夜夜笙歌。她也的确做到了。作为新科状元，张春风马踏飞燕一日看尽长安花，接来了寡嫂同住，还在寡嫂想要逃时生生打断对方的腿，将其幽禁。她看上的人怎么能跑得掉？只是张春风没想到，这寡嫂明明好脾气，到了她这里被打断了腿却死也要逃。某日张春风下朝归来，望着大火焚烧过的院子以及屋子里被烧焦的尸首。张春风指甲抠进皮肉里，好嫂嫂，宁愿去死都不愿和自己呆在一处啊？无事，上天入地，张春风发誓刨地三尺也要将死去的人找出来。注：gb向，女主是攻！女主很坏，不要ky道德之类。女主会虐男主，男主控慎入。男女主皆c1V3但女主只会碰男主！
昏君他又低头了,少韶九,原创-言情-架空历史-爱情,连载,63836,1132395,"['强强', '情有独钟', '乔装改扮', '复仇虐渣', '逆袭', '先婚后爱']",2024-12-09,【她是步步为营的复仇真王女，戏精本精扮猪吃虎】【他是腹黑深情的假昏君，宠妻入骨只为骗她当真】自打十年前那场宫变后，步笑安从云端跌落。父王母后了无踪迹，她堂堂王女流浪民间搜寻蛛丝马迹，辗转各地到了章州。她假作学堂士子，持贪官账册潜入了御史的千秋宴。好不容易见了御史，她未料他表面上应承，却私下毁了账册又追杀于她，本应接应的神弓卫却一反常态并未现身，步笑安只得亡命而逃。戏台上唱着狸猫换太子唱的正尽兴，众人却不自觉地看向戏台下这你追我逃的戏码。可谁知，这真唱戏的却撂了挑子不唱了，脸一抹居然说他是当朝君王。众人皆知那君王远在王都，只是哄堂大笑之后，突然间又都静默了下来。别说，还真有可能！中晟无人不知当朝君王蔺甘棠，样貌是玉树临风，丰神俊朗，不过这位却是一个出奇荒唐昏庸的主，从他办的那些荒唐事儿还得了一民间诨名——掉牙公子。这荒唐君王随手将贵重如虎符的昭然令抛给了步笑安，难得的主持了次正义，一口一个美人儿地叫她，还让她三日内给他一个满意的答复。步笑安恍然大悟，当下咬牙切齿，原来一切尽在他的掌握。微服私访就微服私访，调走神弓卫坑她干什么玩意儿。虽说当年是他代替她带上继承人的面具留在宫里却躲过了一劫。为保命扮昏君她也理解，但是她的纯情暗卫到底是怎么长成如此荒唐又有城府的样子？原以为相见的日子很快就结束，哪知旧日恩怨未休，隐藏在幕后黑手的线索再次出现。蔺甘棠费尽心思才换得二人一同北上，他腹黑又克制，收起狐狸尾巴一口一个殿下，忠心表的是越来越顺口，不过步笑安却总能一眼看穿他心中的心思。他越是表忠心，她便越不信他。幕后黑手隐匿在朝中，有人欲在王微服私访中施以美人计以求上位。步笑安心思微转，如此入局之法，为何要便宜了他人？于是她乔装打扮了一番，就披了凤冠霞帔替人出嫁。一场各怀鬼胎的婚礼，蔺甘棠掀开她的盖头，表情不见惊讶，只是他俯身将她压在床头。轻纱薄帐间，他勾起她的下巴，手指拂过她的唇边。“既然你执意如此入局，之后可由不得你了。”再之后，她清醒异常，利用王后身份一心揪出隐藏在朝堂中的幕后黑手，运筹帷幄大杀四方。可他却一门心思不想让她以身涉险。女主清醒只当戏，男主入戏且当真。【食用指南】1、1V1，双C，不虐，比较欢脱。2、狸猫男主与太子女主互换身份破局，探求宫变真相。3、有一点点先婚后爱和替嫁的元素，男主蓄谋已久，暗恋成真，后来还位女主。4、架空朝代，私设众多，例如：最高领导人称之为王，继承人在成年之前需带面具，女子可继承王位等等。最近隔日更，请各位宽恕则个。
吾妻长欢,玉弗,原创-言情-架空历史-爱情,连载,64586,1130000,"['强强', '情有独钟', '前世今生', '甜文', '成长']",2024-12-16,【剑术超群坚韧世家小姐×既争又抢宠妻家主】【从无到有、爱得不太潦草的冬日恋爱~大甜饼~】空谷寂寥，风雪潇潇，衣冠冢、青石碑前，苍白孱弱的遗世郎君迎风落泪，字字泣血。沧海桑田，时光倒转。谢长欢与怀瑾于盛京城中相逢，一人为破命数，离家远行，一人为应邀约，千里奔波。有人情根深种、愈挫愈勇，有人冷心冷情、无意招惹是非……春心撩动之际，心上人兼好友的谢长欢为救他人，意外致怀瑾受伤昏迷，他心碎欲裂，谎言此生再不回盛京，却只换来一句“山高路远，望君珍重”。阴差阳错下，谢长欢赶赴祁家求药。陡然惊悉，早前不欢而散的怀瑾公子竟是她未曾谋面的未婚夫君。云州谢家，与浮玉山祁家，存有先辈缔结的两姓之约。长欢：既如此，以色相诱。怀瑾：既是他的，那他偏要争上一争。自小承万千宠爱的谢家嫡长女，又哪能敌得过祁家家主，不过是一步步踏进他有心编织的大网……任务完成，她功成身退。“谢挽瑜，你没有心吗？”“抱歉，阿瑾。”-三年后，盛京城，傅宅府门前。“娘亲，我好想你。”*祁怀瑾会一直等着谢长欢，因为这是他两世共同的心愿。【阅读指南】1、恋爱天才×恋爱脑，男主对外冷淡寡情，实则唯妻命是从；2、感情线为主，剧情只占两成；3、开篇女主、男主分别为16、18岁，前期男追女，后期双向奔赴，先成婚后生娃，微救赎；4、微量前世今生的元素；5、节奏慢，但是甜！甜文！不甜欢迎来打我（flag立在这里）；6、封面是定制的，超级适配。
学生不可以变成老婆,雪落听风行,原创-纯爱-幻想未来-科幻,连载,46517,1127282,"['科幻', '机甲', '未来架空', '爽文', '直播', '万人迷']",2024-12-08,【表面穷酸黑户但马甲超神扮猪吃虎攻×表面疯批涩涩学生但内里纯爱仿生人】在古地球时代，宋宁晚是全天下唯一的SSS级机械师，创造盛世科研帝国，被后代崇拜。一朝猝死前，他被自己养大的学生深情表白。“好爱老师……我对您以下犯上，为什么不罚我？”穿到未来废土成为黑户，面对天崩开局，欠钱白捡一奶团子。路人甲宋宁晚为养孩子，吭哧吭哧装神棍直播，用学生的名声招摇撞骗。可没想到本该死去万年的徒弟复活了，隔空喊话，“骗子，等我抓到你，就用血肉雕刻成一朵玫瑰，献给我的老师。”宋宁晚害怕，东躲西藏。结果还是被抓住了。卡里尔当着全天下信徒的面，眼神痴迷，神态爱慕:“想晚的精神力贯穿我，老师，求您疼我。”宋宁晚举起一巴掌，怕把学生打爽，默默放下手。淡淡开口:“别暴露我的马甲。”卡里尔作为神，被千万人敬仰，可在一个凡人面前，单膝下跪，表白求爱！宋宁晚奖励似的拍了拍学生的脸，结果掌心触及温热。卡里尔面色潮红:“继续，老师……”【阅读指南:1.主攻，金手指，马甲逆天。2.受是仿生人，所以思想病态。3.前期感情线不多，14章重逢之后就是感情线。4.攻与奶团子只有亲人关系！5.地上病毒废土，地下微量赛博朋克。】
虫族之我在虫族奋斗终身,回遥,原创-纯爱-幻想未来-爱情,连载,131185,1125445,"['虫族', '日常', '单元文']",2024-12-17,  我来到了一个很奇怪的地方，我一直在寻找回蓝星的方法，但我又遇到了一个人，应该说是遇到了一只虫，我又犹豫了，后面我好像又想明白了，大概是我觉得有你在的地方，就是我的归途。主攻单元文单元一：温和人类x冷淡少将人类少年误来虫族，在寻找回家的时候遇到了塞维恩，他又改变了他的想法。许绥之：“在我看来，伴侣永远不用担心因为不够优秀而被淘汰。”少将：“不知道谁会有幸成为您的伴侣。”许绥之：“你想吗？”单元二云酒的灵魂来到了一个地方，他看着一只虫受苦，他想帮他。云酒：“复婚吗？前夫？”伊时：“滚……”温和人类x面冷毒舌实则心思细腻虫单元三：一朝中二主播来到虫族，看见按照他审美长的上将许识：“宝宝～选我～选我啊～”兰佑：“……四殿下自重。”中二元气十足主播（许识）x冷淡厌虫上将（兰佑）
在废土世界开毛茸茸园林后,重山半舟,原创-纯爱-幻想未来-奇幻,连载,41233,1125360,"['强强', '异能', '系统', '甜文', '废土', 'HE']",2024-12-22,宋羡，一名从22世纪穿越到废土世界的知名宠物医生，奈何穿越成一个短命流浪汉，只好开始了救助小动物获得寿命和精神力的捡垃圾之路。捡垃圾的路上捡到了吸引毛茸茸的神兽白泽，他相中了白泽的能力，于是借伤势重的由头把白泽带回去。本以为有了免费劳动力，谁知这个白泽还是个大爷命，系统还会强迫他不能暴力对待动物。宋羡一边打工，一边照顾家里的毛茸茸，还要伺候白大爷。后来，他救助很多小动物得到了高阶异能，开直播，开商业街火出圈外。中途还凭借系统和自己的聪明才智剿灭买卖动物的邪恶非法组织，救助动物，维护了人与动物和谐的关系。白泽终于开始佩服他。宋羡表示爽了，终于出气了。死对头终于拜服在他脚下hhhh！白泽：“今天想吃什么？我给你做。”“你会做饭？”“在学。”本以为白泽这是在示好，要抱自己大腿。但不久后，宋羡发现不对劲了。为什么毛茸茸见了自己摆出这般敬佩尊敬还怪怪的表情？白泽貌似对他的感情不是佩服……他想抱大腿，但不是那种抱啊啊啊！完了，被缠上了。毛茸茸从来没想过，他们那个高傲冷漠不可一世的族长能找到这么俊美温和有书卷气的男朋友。他们从来没想过，那个孤傲的族长会变出原型躺在宋羡怀里让对方撸毛。然而，宋羡一直当他们族长是在膜拜他。唉！族长以前这么作，现在好了，追妻路漫漫。—————————预收文求收藏~~~《今日宜恋爱》又名：全网都在磕前世我和我上司的cp）前南水国国师扶桑一觉醒来穿越现代社会，成为顾家继子付寻声，遇到了疑似前世自己的上司皇帝顾铭的转世——顾玉衔（这一世是毫无血缘关系的兄长），一摸一样的冷漠，唯物主义。付寻声一直觉得自己丢了一段记忆，但他始终不在意，直到有一天——新闻报道着考古学家开出了南水国都帝王墓，在墓里发现两具合葬的尸体。但令人惊讶的是经过对照考究，发现那两具尸体是帝王顾铭和国师扶桑。于是，南水国各种历史文献的细节被扣了出来，大家惊讶的发现，这两人真有一腿。网上cp粉开始疯狂产粮。付寻声：？？？他怎么不知道自己上司和自己有一腿？？最近，案件频发，付寻声靠前世的玄学解决案件，但慢慢发现一个跨越千年的秘密。他的记忆，顾玉衔的身份，他们的转世与穿越，一切都在慢慢浮现。
夫君与我共白头,钱大钱小,原创-言情-架空历史-剧情,连载,133810,1123940,"['宫廷侯爵', '甜文', '成长', '日久生情']",2024-12-11,从跋扈桀骜，到医者仁心，从天之骄子，到泥泞缠身，阮云映与江初璟的这条路走了很久很久。.阮云映的前半生自认过得顺风顺水，在继母的操持下觅得如意郎君，殊不知蛇蝎心狠，一步错，差点步步错。江初璟也没想到，一时少年意气冲动救人，却被设计深陷，最后如鸟入樊笼，落得娶了个这样的女人。江府落难那天，百姓殇。江初璟想过很多，少年用了毕生的心思保她平安，却唯独没想到她选择了陪着自己。“何必呢？”他记得自己问她。“大概是我名声不好，有人却如赤子，一步步从骄奢中拉我出来、想我未来。”她的声音很平淡，和往常一样。少年的泪忽地涌出。自那以后，走黄土、淌泥河，哪怕血肉被模糊，奴颜婢膝，流放之路再艰难，江初璟都未曾让她那双脚磨破过。.临终，子孙满堂环绕，垂垂老矣的人拉着另一位老人，弥留之际说的是，“跟着我，让你受苦了。”阮云映的泪，忽然就落了，“这辈子，我过得很满足。”“那下辈子呢？”“下辈子，我还找你。”“好，好......”老人的声音已经飘忽，断断续续，“我，等你。”成长逆袭征文“东山再起，绝地反击。”参赛理由:龙凤夫妻遇难被犬欺，相互扶持走出深渊，在贫瘠之地浇筑甘露长成参天大树，最终名满盛京高调回归。
我靠存档在逃荒路上无敌了,酒冲山雨,原创-言情-架空历史-剧情,连载,31035,1123165,"['穿越时空', '系统', '基建', 'HE', '开挂']",2024-12-04,廖岑秋穿进刚开服的全息游戏《逃荒存活计划》，表面全息游戏，实则平行世界，在古代开启漫漫逃荒路。坏消息：穿越的身份没爹没娘，瘦得前胸贴后背，还带着个看着健康状况也不大理想的五岁小妹。好消息：因为带了游戏系统，所以可以不断存档！四舍五入永生了！还有每天可以刷新三个商品的金手指，这还能饿死？然而第一次开局，廖岑秋掏出一瓶旺仔牛奶，和小妹一人一半，被一难民发现，心声歹意，于是廖岑秋GG。第二次开局，廖岑秋不敢再掏，吃掉小妹找来的不知名树根，高呼一句“有毒！”，悲惨GG。数次GG后，廖岑秋终于活到第二天，赶紧存档，并且从此走上每天存档的不归路。小妹崇拜：姐姐好厉害，什么都知道，危险通通能避开！廖岑秋疲惫：哪有什么繁花似锦，都是我一个人在负重前行。很多年后，后世史学家感叹周朝开国皇帝廖岑秋的乱世发家史，是实力和运气的结合。廖岑秋含泪道：什么运气，全靠存档。
和死对头双双失忆后,山茶木鱼,原创-言情-架空历史-爱情,连载,56553,1122626,"['欢喜冤家', '青梅竹马', '轻松', '日常', '失忆', '日久生情']",2024-12-10,成亲之日，苏知棠被未婚夫设计掉下悬崖，和她一起掉下去的还有她多年以来的死对头谢淮。掉下悬崖后两人双双失忆，都误以为自己和对方是一对逃婚私奔的苦命鸳鸯。在两人相亲相爱暗生情愫互诉衷肠后，某天两人突然恢复了记忆。*十年前，谢淮因为国公府一案被送到苏家生活，从此苏知棠和谢淮拉开了战争的序幕。看到谢淮喝药时，苏知棠一脸不屑，“谢世子还是如此身娇肉贵。”随后苏知棠被苏母打得满院子乱蹿，谢淮微微一笑，“大姑娘还是如此生龙活虎。”等两人双双失忆后，再看到苏知棠舞刀弄枪时，谢淮真心赞扬，“娘子这身手真是干净利索。”而苏知棠再看到谢淮生病，又是心疼又是肉疼，“相公虽然体弱多病，可架不住他长得好啊！”＃失忆后和死对头表明心迹了，现在恢复记忆了怎么办，在线等＃【阅读指南】1.双洁，1v1，HE2.无雌竞，偏日常小甜文
捕梦网使用手册,唱妆楼,原创-纯爱-近代现代-奇幻,连载,46357,1110510,"['强强', '现代架空', '爽文', '热血', '群像']",2024-12-15,【好心的宝们，求收藏本文，求收藏专栏，后续还有很多好梗等待着上新。///现生开始忙起来了，最低隔日更，灵感来了会日更，目前慢慢存稿中，绝对不会弃坑，放心追吧~///我会持续更到第二个副本之前大修一次，大家伙先将就着看一下（爱每一位看我文的天使宝宝）】文案：秋招的时候，有一个奇怪的单位混进了招聘行列，他们的标语是这样写的：“兔子先生在洞口拉网，等待着下一个梦游的爱丽丝。双侧门旋转在眼前，亲爱的捕梦网开拓者，欢迎来到新世界。”*你喜欢记梦吗？你喜欢造梦吗？庄周老先生的经典论题里，梦蝶篇章令人困惑已久，它飞舞在梦核丛中扑闪来去，双翅沾染诡谲的气息。那究竟是我梦到了你？还是你梦到了我？全球陷入现实与虚幻融合的临界点，梦是连接两个世界的桥梁和钥匙，普通人的精神力愈发匮乏，异能者不同阵营间争端不断......在这个虚幻破碎的世界里，什么是现实，什么又是存在？*【绿茶可爱勇敢狮子攻×缺爱漠然清冷美人受】狂爱对方不爱自己vs不爱任何人也不爱自己者的对白。分别的十年后，将要忘却的边际，谢绮星用捕梦网圈住了夏知初，他却以为，那只是梦。第一个副本结束回到现实，槐树下重逢，谢绮星把夏知初搂在怀里，眼泪落成一汪湖：“好险，差点就忘记你了。”谢绮星再也承受不住第二次忘却夏知初，把人粘的很紧，像只狗皮膏药一样甩都甩不掉，夏知初铁石心肠，只把谢绮星当弟弟和搭档。他的懦弱和胆怯，让谢绮星的爱一次又一次扑空。“为什么不爱我？求你，爱我吧。”谢绮星一步一步靠近，把夏知初困在逼仄的角落。夏知初说不出拒绝的话，因为他听到了自己的心脏，在这个已经成熟了的男人面前，疯狂的跳动着。夏知初妥协了，明白了，承认了。那一刻，他发觉对谢绮星的感情已经从喜欢变成了爱，而喜欢是起于什么时候？或许是第一次下意识拒绝的时候吧。他头一回主动吻了上去，对谢绮星说：“月环圆满时，带我奔逃出这个恍惚飘摇的世界。”*1.HE，甜，1V1禁拆逆。攻受差三岁，年下。2.异能者有控制梦境的能力，每个人的独属技不同，具体参见文中细节。3.瞎写的怪故事；欢迎指正专业性错误。我是玻璃心，请对我温柔（嘤嘤嘤）。希望各位睡眠质量嘎嘎好，最好少做梦，做梦的话梦境质量超高！求求多多收藏（鞠躬）
生而为女，我很骄傲【快穿】,英娥,原创-无CP-架空历史-剧情,连载,38454,1108752,"['女强', '系统', '快穿', '现实', '群像', '女尊']",2024-12-14,生而为女，是我无上荣光。第一个世界：校园追妻火葬场女c男非虐女文 弑父弑夫弑兄反男反虜 （现在）第二个世界：全女的共产主义社会 对生命的尊重与热爱 人与自然和谐共生 （未来）第三个世界：女尊男卑的平行历史王朝 女性不是一种处境，女性是一种生理性别。失权才是处境。不能简单地置换，也无法简单地置换（平行）第四个世界：重返夏商时期帮助母系社会不被父系颠覆（过去）第五个世界：穿越回女卑男尊的封建男权古朝，推翻父权自己做皇帝，改革父权制拨乱反正，女人做官读书男人呆在家里代代是女皇。（过去）第六个世界：星际文明与地球末日原来…外星人是女系文明啊？第七个世界：穿成耽美文工具人女配第八个世界：穿成女权男的妻子知识渊博的学术教授、迷妹无数的天王歌星、革命先锋的文人偶像、开国立业的伟大领袖…牠们都是女权男阅读指南：1.所有角色皆为虚构，所有时空皆为杜撰。请勿对号入座～嘻嘻，你急就是你输啦！ 2.女主无cp 3.心疼男人的你一定要进来看啊！4.接受写作指导和思想指导。但思想方面只接受更激进更有启发性的方向。沾v女和v给我s
破铜配烂铁,_秃_头_,原创-纯爱-近代现代-剧情,连载,42420,1108737,"['破镜重圆', '相爱相杀', '现代架空', '虫族', '美强惨', 'HE']",2024-12-15,主攻1V1，HE，阴暗女鬼雄虫攻*前·自强不息“龙傲天” 后·被逼疯雌虫受这是一个婚后撕逼，非典型性破镜重圆的故事，三观不正预警！一只阴暗批伪装成“小天使”成功骗到一只雌虫后，却惨遭识破，于是露出真容，开始满地扭曲爬行；结果在雌虫受不了想要离婚后，仍不思悔改，疯狂纠缠，都失败以后开始破罐子破摔的故事。主打一个有病青年欢乐多，黄金档大型家庭伦理剧，大型撕逼现场，泼天狗血，天雷滚滚---------------破铜配烂铁，枯枝对落叶败絮对残花，孤星伴残月~神金的“爱情”故事~最后，排个雷：1.会有其他视角出现，这是必要的！（不多）2.不适合控看哈，尊都！3.不是甜文！！！不是爽文！！！（注意，我不可能把所有的雷点都排完，其他暂时没想到）
美强惨偏要独揽白月光,莫欺少年颠,原创-言情-架空历史-剧情,连载,44346,1100102,"['江湖', '欢喜冤家', '相爱相杀', '励志', '沙雕', '腹黑']",2024-12-02,【同步修文ing，没有更新可以看看是不是修文了】少年时，他教她舞剑，她递他糖果。他说：“这剑是我独创的，你学了就是我的人。”她没听懂，偏头咬着糖笑道：“你的剑既然是为我而创的，自然就是我的。”后来，他带着杀身之祸逃命，将灾祸带到她家，再回去时，满院废墟，她不见了。所有人都说，她死了。再后来，他活成一柄孤刃，只为复仇。江湖传言他冷心冷情，不近人情，可只有他自己知道，他所有的执念，都是为了找回那场大雨冲刷掉的真相。十年后他看见她穿着不合时宜的布衣，拎着一柄铁剑，皱眉站在他的面前。他认得她的剑招，也认得她握剑的姿态。可她却一脸天真地问他：“我是不是见过你？”他敛起眸光，轻笑：“见过又如何？你这脑袋，怕是早就不记得了。”她真的不记得。他为她挡箭，她怪他太鲁莽；他替她扫清险境，她觉得理所当然。他一边咬牙暗骂她笨，一边细心护她周全。直到有一天，她握着那柄熟悉的剑，对他说：“小时候有人教过我这套剑，可惜忘了他是谁。”他笑了，笑得凉薄而冷冽：“忘得倒干净。”可只有他知道，这十年来，他一日也未曾忘她。她渐渐发现，这个看似冷酷的男人，总在她身边将所有危险挡开。他却一再冷嘲：“别自作多情，我不过是看你蠢得让人不放心。”可真相一次次刺破表象时，她终于看清，那双冷眼之下，有着压抑十年的执念与深情。他说：“你忘了糖，我教你剑；可我记得糖，也记得剑。”她怔住：“糖有什么好记的？”他低笑，眼中却隐隐泛红：“糖是你给的，剑是我给你的。那是你给我的光，而我这辈子，只想护着你。”美强惨偏执男主x不圣母榆木脑袋女主
不是师妹，是祖宗,漆遂富,原创-言情-架空历史-仙侠,连载,74243,1095324,"['情有独钟', '仙侠修真', '升级流', '逆袭', '轻松']",2024-12-10,季明燃，徒有虚名的高岭之花。全修界都知道，她资质平平、修为底下，能成为万年古宗名义上的祖宗，纯属走运。恰逢被封印百年的魔头破阵而出，修界再起腥风血雨。名门正派皆派精锐子弟围堵追击，那位花瓶祖宗被点名参加，不为别的，只为看她届时如何落荒而逃、丢尽万年古宗的脸。德不配位者，就该如此下场。兵分几路，偏偏还真让她遇上传说中气势逼人、来势汹汹的魔头。众人认为季明燃命休矣。那传说中的魔头暴戾狠瞪来人，预期中应惊慌失措的花瓶祖宗仅仅挑眉疑惑，“嗯？禹天行？”她甚至感慨：“好久不见。”威压气焰瞬间消失不见，杀气四溢的魔头顿时柔情似水：“有三万两千四百八十五日了。”小祖宗笑得开心，招呼小狗般：“过来。”而后被魔头一把拥入怀里。她也没挣扎。怎么回事？修者震惊：她竟与魔头有千丝万缕的关系？咦，不对。好事者顺藤摸瓜——跟魔头牵扯不清的小祖宗，她的师尊当年盗走至宝叛出师门，她的伙伴一个两个背弃宗族。总而言之，跟她搅和在一起的，没几个好人。这位小祖宗恐怕没那么简单。处于非议漩涡中心的季明燃只是惊讶：你们为何对此抱有怀疑？我本就不简单。**********季明燃死在末世，在她还未知晓何为人间情暖、还未体会人间烟火前。幸好还能够再次睁眼。这次成为一名凄苦小孤儿，资质低、根骨差、招人白眼和唾骂，并且遭遇开局杀。没关系，她只想过些简单平静的小日子。于是她转头反杀欲置她于死地的怪物。于是她招来正亡命天涯的落魄皇子相依作伴。于是她九死一生跨越天门去往修界宗门。她一步一步，识伙伴、拜名师、归宗门、登高位。她兢兢业业、踏踏实实地苦心经营小日子。只是——那日，名门各宗嘲讽奚落她的宗门日薄西山。那日，世家大族群起责难她的伙伴狼心狗肺。那日，修界正派纷纷指责她的师尊欺师灭祖。那日，正义之士群集攻击她的至交恶贯满盈。那日，末世怪物再现要将她的世界搅得粉碎。那么，既惹了她，便别怪她。******禹天行对这个世界满心厌弃憎恶，只想它尽快消失。直到一天，他遇见一个人，那人心心念念要好好过日子，说话时神情坚定又认真。他觉得好笑。后来，他只愿能够和她好好过日子。**女主前期弱，后期逐步恢复强。
装弱的学长太会撩,炒饭加葱不加蛋,原创-纯爱-近代现代-爱情,连载,34461,1094235,"['情有独钟', '因缘邂逅', '天作之合', '轻松', '美强惨', '钓系']",2024-12-17,【美强装弱心机狐狸攻x率真内敛撩不自知受】【日更或隔日更/在存稿～（づ￣3￣）づ╭】姜时玖，十九岁，自认是直男。原本只想顺利毕业。但开学就连环暴击——先是莫名其妙被冒充“出柜”，接着抄个近路都能撞见两个男人在接吻？！再后来，居然还被一个奇怪的大叔骚扰！更离谱的是，一个长得挺好看却行事诡异的男人，竟然还跟着他一起上厕所。姜时玖决定当机立断，表明立场：“我不喜欢男人。”晏煦：“哦，那你只喜欢女人？”姜时玖，居然，一时间答不上来？！-姜时玖总能撞见高煦被欺负的场面：被泼水，他在。被针对，他在。被打一拳，他还在。....一次两次是巧合，三次四次就是命运。晏煦：“你能帮我涂药膏吗？”姜时玖：“...”拒绝不了于是，一个大男人半夜跑到另一个男人家里涂药膏？-姜时玖觉得有些邪门。撞见两个男人亲亲，旁边站着晏煦；看见两个女人啾咪，晏煦还在旁边。晏煦：“所以接吻，你想试试吗？”姜时玖：“What？！”-【小剧场】Q：说一说你们眼中的晏煦姜时玖：长得好看，温柔，多金，但一直被欺负（有点生气！）晏煦亲友：（瞳孔地震）你这微型摄像头在哪？是整蛊吧？！食用指南：1V1 SC 校园拉扯戏较多 后有少量职场戏
