排名,书名,作者,类型,进度,字数,积分,标签,时间,简介
115,卡牌密室（重生）,蝶之灵,原创-纯爱-幻想未来-悬疑,完结,2389790,8676447232,"['强强', '幻想空间', '无限流', '悬疑推理', '轻松', '卡牌']",2019-07-10,【《卡牌密室》实体书已出版，分上部（蓝色封面）、下部（橙色封面），欢迎想收藏纸书的小可爱们淘宝/拼夕夕/京东搜索购买~】---肖楼意外身亡，重生到一个由卡牌构成的世界。在这里，每张扑克牌代表一个密室——悬疑推理、机关迷宫、生存冒险、挑战对决，密室的难度逐级递增，只有通关SS级难度的密室，才能回到现实世界。为了回去，肖楼和小伙伴们一起，踏上了惊险刺激的密室逃生之旅……1、扑克牌+团队密室逃生，无限流爽文。2、通关可抽卡，卡牌种类诸多，装备牌、特效牌、召唤牌、工具牌应有尽有。3、刑警×法医，强强联手带队过关，谢谢支持正版的小天使们！
116,暗格里的秘密,耳东兔子,原创-言情-近代现代-爱情,完结,329121,8671885312,"['都市', '校园', '正剧']",2017-06-25,1、年少时的爱，像风，看不见，却感受的到；就像刻在桌板上的名字，怕你看见，又怕你看不见。——节选自《小怪兽日记》我们半世相逢，依旧少年如风。6月25日晚八点开更。7月13日入v考究党慎入！！！一篇很平淡的小甜文，嗯。“彼方始有荣光在。”——这句话是出自一部日本的漫画《Fate/Zero》 【一个很严肃的提醒：不要去任何包括但不限于扣扣、网易云等音乐、抖音、小红书等等的书中相关引用歌曲的评论区以及跟我文不相关的评论区去提我的文，不要打扰别人，谢谢大家！】
117,你听得见,应橙,原创-言情-近代现代-爱情,完结,444004,8571045376,"['情有独钟', '天之骄子', '正剧']",2022-06-16,《你听得见》实体书已上市，各大电商平台有售。1好友柳思嘉的生日会排场极大，在一栋灯火通明的别墅里庆祝。大小姐双手合十，明艳脸颊微红：“希望他能来。”周边同学都知道是谁，此起彼伏的“哦”声响起。可是他来不来，全看心情。生日会到一半，班盛拎着一份蛋糕进来，掐灭烟，开口：“生日快乐。”大小姐惊喜不已，吩咐要重新吹一遍蜡烛许愿。事后众人闹在一起，林微夏独自去厨房拿水果帮忙。一转身，林微夏险些撞上一人的胸膛，下意识地后退。班盛单手插兜，缓慢靠近，影子落了下来，见到她鼻尖上黏着的奶油，眼神变了一下，看着她：“你慌什么？”-一场盛大的校园嘉年华中，五个人逃到海边玩抽卡游戏，林微夏抽到问班盛问题。“你想成为什么？”“鲨鱼。”他停了一下，反问道，“你呢？”“鱼缸”谁都知道，鲨鱼和鱼缸永远不能在一起。拽酷厌世X清冷少女排雷：各种青春中二病/略群像，主配角均有缺点。HE/双初恋（主角未成年前不恋爱，无亲密行为& 本文不好的配角均已受到相关法律制裁。* 听见文名灵感源于周杰伦歌曲《你听得到》。该文完整大纲存档于2021.7.18
118,拯救悲情反派进行时！,碉堡堡,原创-纯爱-幻想未来-爱情,完结,1427465,8457121792,"['穿越时空', '打脸', '系统', '快穿', '正剧']",2021-09-12,【正文已完结，不定期掉落番外中】小说里，除了一位占尽天道气运的主角，必不可少的就是美强惨反派。他们或惊才绝艳，或权势滔天，却因为疯魔似的迷恋主角，变得病态且偏执，最后成为人人厌弃的反派，被作者虐身又虐心。生无扎根处，死无葬身地。【他们到头来一生是苦。不见天光，不得人爱，不知甜味。世人厌之惧之，躲之避之，不曾给予半分善意。】读者哭得一把鼻涕一把泪，纷纷哭求作者给他们一个好结局，千万别虐。无良作者曰：反派嘛，当然越惨越好，越苦越好，越狠越好。最好断胳膊断腿，惨绝人寰。＃读者哭的越惨，我越高兴＃然而，不知是不是读者怨念太大，有一天，这些无良作者忽然被系统绑定了。系统：请拯救他们。作者：谁？？？系统：你们笔下的反派。作者：？！！！系统声情并茂：他们惊才绝艳，他们风姿绝世，他们可怜孤苦，他们……作者：特别变态……系统掏兜兜：来，这个毁容反派是你的，这个断腿反派是他的，还有这个疯批反派……作者啪叽跪地，吐出一口老血：求放过！—————小剧场：反派幼年孤苦，受人欺凌。无良作者为了拯救他们，每次都在危急关头出现护住反派，并把他们当成亲爹呵护，最后终于完成任务，准备功成身退。小说里痴恋主角疯魔，阴郁病态的反派此时却红着脸，小心翼翼拉着他袖子道：你……你别走好不好……无良作者：喵喵喵？？？！这个剧情我没写过！【高亮注意】——————1.本文主攻，双洁，救赎治愈系。2.单元快穿故事合集，每个故事不同主角。若干个被系统绑定的作者去拯救他们自己笔下的反派。3.【不要在文下提及他人作品，感谢理解与尊重。】
119,提灯映桃花,淮上,原创-纯爱-近代现代-爱情,完结,490608,8452018688,"['强强', '灵异神怪', '相爱相杀', '复仇虐渣', '正剧', 'HE']",2015-09-25, 都市现耽狗血酸爽小白文，强取豪夺虐恋情深豪门恩怨相爱相杀俗套HE 曾见周灵王太子，碧桃花下自吹笙现代都市降妖驱魔文，王八之气爆表每天都被自己帅醒攻 & 坚强不息怎么打都打不死受，时髦值点满哟！（误到天际）
120,不要乱碰瓷,红刺北,原创-言情-架空历史-奇幻,完结,734616,8410539008,"['仙侠修真', '穿书', '爽文', '东方玄幻', '轻松']",2021-08-24,2023年9月23日19:00各平台预售完结篇出版实体书，限量特签3000，后五分钟亲签，详细信息可@天天赤脚～     叶素穿到仙侠小说中，入乡随俗兢兢业业修仙，闲暇时围观男女主谈情说爱、分分合合。她生活过得有滋有味，还有狗血偶像剧看。万万没想到妖界有条小蛇冒充人，来千机门当弟子，偏偏这条小蛇功力不行，妖气四溢，蛇尾经常一不留神冒出来。作为一个爱好和平，三界平等的人，叶素为了不让这小蛇被师门斩杀，时不时就要帮他掩盖妖气，挡蛇尾。叶素：心累。大妖游伏时混进千机门，经常故意暴露自己是妖，想要借机生事，偏偏千机门有个莫名其妙的人，在他故意泄露妖气时，会用真气罩过来，其他千机门人压根没有发现妖气。游伏时一不做二不休，干脆露出真身，吓死这帮正道人士，结果才冒出蛇尾，那个人衣袍裹过来，还在衣袍下面摸他尾巴！果然，千机门都是一群道貌岸然的人！连蛇都不放过！！！我的预收文：《全面进化》，男主鱼青飞，欢迎收藏呀～文案：方回所在星球最终还是爆炸了。但她活了下来。再睁开眼时，有人正在外面撬她的冷冻舱。“欸。”陌生的黑发青年手拿着撬棍，另一只手抱着舱板，探脸对上方回的目光，心虚道，“对不起，我不知道这是你家，要不要现在……帮你恢复原样？”方回：“……”
121,百万UP学神天天演我,小霄,原创-纯爱-近代现代-爱情,完结,631621,8404656640,"['情有独钟', '甜文', '直播', '校园', '轻松']",2021-03-11,陆商/广播剧，详@敲键盘的小霄6月开同系列新文《惶惶》（校园）文案见置顶评论****青春校园，本命天降，俩大帅哥快乐发糖极致双标·浪里追星·学神UP攻（窦晟）X  天才小提琴·口嫌体直·海归受（谢澜）--------谢澜，国外长大，人拽盘靓，回国后寄宿妈妈闺蜜家，入读英中理科四班弱点是中文。作文半中半英连滚带爬地写，日常就是在办公室无奈解释：“不是不会做，是看不懂题。”教导主任面色冷峻：“再说一遍。”谢澜斟酌片刻，调整了语法结构，“如果能看懂题，我就会做了。”教导主任手微微颤抖：“再说一遍？”谢澜：“……”阿姨笑着安慰他，“没事，让窦晟带你，很快就适应国内生活啦。”谢澜沉默片刻：“说的是我回国那天在机场跟一百万粉丝说接表妹的那个窦晟？”窦晟，年级学神，某站百万大UP，靠脸圈粉，靠浪留客，骚的一笔。窦晟开始关照他后，谢澜很快就融入了窦晟所说的“中国式高中生活”具体包括：深夜撸串，网吧通宵，为B站【@人间绝帅窦】一键三连窦晟非常照顾他，连一起夜不归宿被抓后，检讨稿都代为捉刀。谢澜站在国旗下皱眉念稿：“刚刚回到祖国怀抱就违反校规。对此，我只想说……不愧是我。”叮咚。【您关注的UP主@人间绝帅窦投稿《你对力量一无所知》】“……”某天，人间绝帅窦视频里偶尔会出镜的帅哥掉了马甲据说那日B站和油管双栖粉集体炸裂#本命up和本命youtuber在一起了##梦幻联动！！#****【食用指南】1.受曾是油管大神，攻是活跃UP，受是攻入行初心2.仅参考B站用户调性及平台内容风格，部分规则有调，别太代入3.攻在28章、61章因百万粉丝福利穿过JK，本身无女装癖好4.主角羁绊之外，全文附加UP事业线、数学竞赛线、轻度群像5.同系列完结文——《沙雕学霸系统》《复读生》6.同系列预收文——《惶惶》7.末世剧情完结文——《风雪待归人》末世异能微克苏鲁
122,方尖碑,一十四洲,原创-纯爱-幻想未来-爱情,完结,1268331,8394227712,"['强强', '魔幻', '无限流', '正剧']",2020-10-17,“欢迎来到无限世界。”“你是一把刀，为主神杀伐征战是你的命运。”“你要赢得每一场战争，无论你是卫国者还是开拓者，无论手中是冷兵器还是热武器，无论你的身份是指挥官、士兵还是俘虏。”“记住，你的功勋是他的功勋，你的荣耀是他的荣耀。”“胜利或失败，鲜花或墓碑，你的结局只有一个。”“走进那扇门，你就是战争本身。”“不。”他道：“我是胜利本身。”*他站在门前：“最后一个问题。”“请问。”“他会怎样奖励我？”“……”[正文完结]12.10周四入v。[食用指南]1.主神是受。2.主角人形自走最强兵器。3.更新不稳定，不更请假。-----------预收仙侠文《逆鳞》，古耽《金缕衣》，点进专栏可见~
123,山海高中,语笑阑珊,原创-纯爱-近代现代-奇幻,完结,452186,8378252800,"['甜文', '东方玄幻', '校园', '爆笑']",2019-11-13,简体出版名《山海高中》漫画：请至【哔哩哔哩漫画】搜索“山海高中”广播剧：请至【猫耳】搜索“山海高中”【简介】林竞是个标准的好学生，认真勤奋有礼貌。高二转学后，他却被年级倒数第一的坏学生强行纳为麾下小弟。对此，林竞一头雾水提出疑问，为什么？季星凌肩膀上搭着校服，吊儿郎当往墙上一靠，让金色阳光落满发梢。“没办法，谁让你是个粗心的小妖怪。”林竞：？完了，这人有病。十八岁生日时。季少爷抹了满头发胶，把人堵在门口，自我感觉十分霸道总裁：“明天有空吗？”林竞很紧张：“季星凌！季星凌你的麒麟尾巴又露出来了！”轻松奇幻校园，麒麟攻。
124,子夜十,颜凉雨,原创-纯爱-近代现代-爱情,完结,1308887,8378251264,"['情有独钟', '无限流', '都市异闻', '大冒险', '正剧']",2019-05-07,鸮，一个午夜闯关世界。被选中者，必须闯过全部二十三关，才能回归正常生活。范佩阳做梦都想尽快闯完，和唐凛完完整整看上一次午夜场电影。唐凛是他的最重要的人，身患绝症，时日无多。未料，闯完第十三关（13/23）时，命运给了他新的选择——鸮：作为进入后十关的奖励，我可以满足你一个限定条件的愿望。范佩阳：让唐凛痊愈。鸮：不符合限定条件。范佩阳：让唐凛长命百岁。鸮：不符合限定条件。范佩阳：让唐凛进入鸮总可以吧！鸮：可以。但后十关险恶异常，友情建议，最好选择能增加自身战斗力的愿望。范佩阳：我就要他进来。【鸮：有人对你使用了[幻]完好如初~】1V1，HE。前十三关的故事，指路→《子夜鸮》
125,守寡后我重生了,笑佳人,原创-言情-架空历史-爱情,完结,731195,8369408000,"['宫廷侯爵', '重生', '甜文', '爽文', '轻松']",2022-09-16,守寡之前，华阳看自己的夫君几乎是哪哪都不顺眼，嫌弃他天天沉着一张脸，嫌弃他满身大汗就往床上躺，更嫌弃他某些时刻的毫无节制。可当他真的死了，她也成了寡妇，华阳竟开始一桩桩地怀念起他的好，譬如他背着她在暴雨里稳稳行走的身影，譬如寒冷冬日他炽热如火的胸膛。一朝重生，华阳决定对他好一点。·婚后恋，日常风。·仿明，若干人设有原型，架空免考据。
126,等风热吻你,唧唧的猫,原创-言情-近代现代-爱情,完结,181729,8365279232,"['都市', '轻松']",2018-02-20,下一本写《温柔有九分》-见过你的眼睛，我再也没看过星光。-尝过你的味道，我没打算活着回来。第一次尝到刀尖上舔蜜的滋味。是从初中那年，许星纯喜欢上她的那天起。外冷内骚x没心没肺破镜重圆
127,秋燥,巫哲,原创-纯爱-近代现代-爱情,完结,593300,8351958016,"['强强', '轻松']",2024-06-09,濒临倒闭的旅游小镇，已然倒闭的民宿。一个接手“鬼屋”的民宿老板和他为钱所迫的助理。更新时间晚7点30，更新不了会提前说。
128,薄雾［无限］,微风几许,原创-纯爱-幻想未来-爱情,完结,432403,8340646912,"['强强', '科幻', '穿越时空', '无限流', '正剧']",2020-02-21,【出版相关信息请查看微博@风太大我听不懂】【请勿在前面的章节剧透，我看有读者要气炸了】超忆症，患上它的人能清楚记得人生中的每一个细节，大到世界转折，小到脑海中产生过的每一道想法。他们过目不忘、求知若渴，使得他们极易成为某种意义上的天才。传说季雨时就是这样的天才。另外，传说他是个Gay，长得还很漂亮。他要去支援天穹七队的消息一经传出，就炸开了锅。谁都知道七队队长宋晴岚一身匪气，深度恐同。不仅凭着超强的能力两年内就成为了战场黑马，还最讨厌上面往他队里塞花瓶。果然，宋晴岚当众发言：“有用？兄弟们是要去卖命，不需要会量子波动速读的小天才！”后来。一行人在任务中被逼到绝境。那个漂亮的小天才眉目沉静，枪枪爆头，战斗力爆棚。宋晴岚当着众人求他：“季顾问，留下来。”末了，又补一句：“我给你卖命。”*季雨时有个秘密。他经常夜不能寐，记忆超载噩梦缠身。能让他安然入睡的。世上唯有宋晴岚。[——我为你踏平世间苦海，永不回头。因为，你才是那渡我的岸。]○真香文○痞气骚话长腿攻＆超级记仇超忆症受，强强○或烧脑，但主要是为谈恋爱服务，全篇都是瞎扯淡○薛定谔的高科技（不要较真○超忆症其实很痛苦，创作需要，勿杠○作者玻璃心，看不下去点叉就行别留言了谢谢
129,情敌每天都在变美[穿书],公子于歌,原创-纯爱-近代现代-爱情,完结,786329,8287381504,"['娱乐圈', '系统', '甜文', '穿书', '轻松']",2019-09-10,同类型推荐：《贵族男校的公用炮灰突然变美后》-----【全文完结，本文漫画已在【快看】漫画更新。广播剧猫耳FM，大陆简体已出版，繁体制作中，敬请期待。】真香来袭，打脸爽甜，变美大翻身，精彩剧中剧！沈金台进入一个穿书系统，通过做任务可以让自己变得越来越美，越来越性感。他很快收到了第一个任务：由男主的炮灰追求者转为他的情敌，抢下他的白月光！任务成功奖励：六十岁都不会下垂的翘屁。沈金台：“……哇~”沈金台穿成了和他同名同姓的过气爱豆，因为痴爱财团太子爷阎秋池，为爱隐退，死缠烂打贱度爆表。但阎秋池不为所动，像一座冷冰冰的贞节牌坊。沈金台穿过去以后：“为爱隐退？煞笔！”“阎秋池是谁，爸爸没有听说过！” 阎秋池发现以前一直纠缠自己的沈金台突然性情大变，人越来越美，爆红之势重返娱乐圈顶流，让人没办法把眼睛从他身上挪开，包括阎秋池身边人。 阎秋池的白月光：“沈金台，我可以为你做1！”阎秋池的弟弟：“小金，我哥瞎了眼，我没有。”阎秋池的好友：“ 你告诉我要怎么办，我就是为你意乱情迷！” 阎秋池的竞争对手：“敌人的敌人就是朋友，我们是天生一对佳偶。”阎秋池从前有多禁欲，后来就有多急切，但沈金台不为所动，像一座冷冰冰的贞节牌坊。搓衣板往床前一撂，阎秋池：“老公粉兼老婆奴了解一下。” 只想变美了自己开心的美艳受 vs 极其禁欲也极其闷骚的真香攻，醋缸 本人公子于歌，为晋江独家全约作者，所有作品均独家发表在晋江文学城网站，严拒其他任何平台以盈利或非盈利目的进行转载，增删，篡改，传播，本人拒绝承认非晋江官方网站的所有内容和行为和本人相关，并坚决抵制这种行为，希望其增强版权意识，杜绝盗版行为。请大家认准正版平台，支持正版。特此声明！声明人：公子于歌2020年11月9日
130,重回我爸当校草那几年,春风榴火,原创-言情-近代现代-爱情,完结,493157,8270459904,"['重生', '甜文', '校园', '时代新风', '正剧']",2019-08-08,【全文完，微博@作者春风榴火，实体书《深情可抵岁月长》】20岁以前，陆嫣是个被老爸放在手掌心里疼爱的娇气富二代，直到她爸陆臻被对手算计，一夜破产。算计陆臻的男人，名叫沈括。江城无人不知的冷血新贵。这个狠绝冷戾的男人，不仅干掉了陆臻的公司，还把他的女儿陆嫣抢回了自己的豪宅。……一次意外，陆嫣重生，竟然回到了老爸的年少时期。她眼睁睁看着她稳重的总裁父亲，跟一帮不羁少年们浑在一起，笑得张扬恣肆。而他攥着沈括的衣领，轻拍他的脸——“服不服？”……谁都知道，七中有两个惹不起的男人。陆臻，豪门贵子，嚣张跋扈，好勇斗狠，坏到了骨头里。沈括，一穷二白，沉默、隐忍，拳头硬，骨头更硬。两人是水火不容的死对头。最近同学们发现，校草陆臻最近身边跟了个丫头，容貌和他九分像。小丫头撒娇卖萌一把好手，总在身在他身后。陆臻气急败坏把钱甩给她：“最后一次，别再跟着我了！”后来，小丫头就真的不再跟着他了，他还挺不习惯。直到看见死对头沈括将陆嫣按在墙边，冷声问：“喜欢我吗？”小丫头吓得快哭了：“喜、喜欢。”看到他竟然和自己女儿在一起，陆臻肺都要气炸了沈括：“服不服？”陆臻：……#精心养大的白菜被死对头拱了，老子好气！#冷漠少年vs软萌娇气破产富二代少女【正能量，相互救赎，转型时期社会新风貌】***接档文连载中***《反派大佬让我重生后救他》姜雨重生，回到一穷二白的17岁。上一世，因为贫穷而被迫放弃芭蕾的梦想，沦为渣男富二代的白月光替身，被家暴而死，潦倒收场。贫穷而惨痛的青春，姜雨真的不想再经历一次了，然而，就在她束手无策之际，却意外发现，自己的手机也穿来了。通过这部手机，竟可以和未来的人联系。于是，源源不断的未来业务找上了姜雨——“请你帮我告诉我妈，有钱千万别去炒股！”“请你帮我转告过去的我自己，千万别为了和男友念同一所大学，高考故意失误！”“我爸已经不在人世了，帮我告诉他，我不是一事无成的废柴。”......姜雨依靠手机业务，挣得钵盆满溢。直到某天，姜雨接到了一个男人的求助。男人声音低沉有磁性，带着几分邪气。一听到这个声音，姜雨吓得手机都差点飞出去。他是电视新闻里连续十天不间断报道的高智商罪犯——裘厉，犯下的一起起案件，耸人听闻。他希望姜雨拯救少年时的自己，不要走上歧路。根据他的信息，姜雨找到了少年裘厉。少年裘厉被人堵在黑漆漆的巷子里，拳打脚踢，眼神里透着压抑隐忍的光。......而那一天，血泊中的裘厉，看到巷子尽头穿白裙子的女孩。十七年无穷尽的黑夜，那是他第一次看见月亮。......【正直芭蕾小仙女vs情感缺失的邪恶少年】
131,我爱种田,拉棉花糖的兔子,原创-纯爱-近代现代-轻小说,完结,595146,8242677760,"['种田文', '美食', '快穿', '爽文', '轻松']",2018-07-08,当崔栖潮的上古帝王血脉苏醒后，他开始抑制不住王者本能地在各个世界……疯狂种田。炎帝神农血脉，种田品质保证。……崔栖潮：我爱种田，种田使我快乐！.非主流慢穿爽文，校园、中世纪、星际，美食、经营、升级，没有不能种田的世界。指路排雷：每晚八点更新，半架空，金手指大开，继续跃跃欲试的感情戏。去留由君，砖花随意。
132,诡话第一boss,吾九殿,原创-纯爱-近代现代-剧情,连载,2257167,8240558592,"['强强', '灵异神怪', '情有独钟', '无限流', '逆袭', '正剧']",2023-04-16,【《悬河诡渡》副本已通关。】灵气复苏第三年，全人类被卷入真实诡异游戏《诡话》游戏随机抽取怪谈生成副本：赢则副本boss转为一方挡境神，诸邪辟易；输则诡怪彻底复苏，副本涉及区域全部沦陷！事关重大参与副本的玩家和直播观众，最恨的就是拖后腿的傻X不幸的是，灾难级副本开启，匹配进本的就有这么一个银灰长发，厌世脸，病恹恹，别人打架他睡觉，别人逃命他泡澡长再好都掩盖不了那股“我不想活，大家跟我一起死”的报社味再点开资料一看：24k纯新人。所有人眼前一黑，TM，这还不够boss一口吞！———谁也不知道，卫厄曾被卷入另一个更高纬的无限世界那里三天一个小副本，五天一个大副本。每个副本都压抑疯狂绝望，逼人去死。没有一个玩家能撑过三年，而卫厄是头一个有望活到第三年的家伙——在他炸了主神之后主神空间崩塌的时候卫厄回忆这三年无限五年搏命，狠狠发誓：要是有来生，他绝对不卷！一睁眼，卫厄回到了熟悉的蓝星还没来得及高兴，就发现……主神也跟他一起出来了：）·猎食场被毁的那一天，主神发誓迟早有一天弄死那个放肆的蝼蚁卫厄偶尔刷牙的时候抬头，都能看到镜子里写着：“一百天后，吾定弄死你。”第五十天，一名玩家冲卫厄表白。第三十天，卫厄登顶《诡话》最有魅力男人榜首。第十天，副本boss投怀送抱。第五天，第三天，每天都有人在论坛上喊自己是卫厄的狗。最后一天，主神果真捏住了卫厄的喉结，声音阴翳又疯狂：“吾说过，吾迟早弄死你。”不过，看着卫厄恹倦扯起的唇。祂想，自己或许应该换一种方式。比如说，在身下。————卫厄破解第一个灾厄副本的时候，还有人觉得不过是偶然等到一个个天灾副本接连告破，死境回生，他们才惊觉，那不是偶然，那是令废土重燃的希望：闽南阴海斩龙王滇南穷山骨烧镇鬼头铡下合龙门灶王口中抢生魂……在这荒诞绝望的世界，他才是行走的——第一boss！备注:是一个非传统的无限流切片邪神马甲皆疯批攻x人狠手狠酷哥受：魇靈x卫厄封面已获独家网封授权作者有约稿爱好，连载期间不定期更换封面，每张封面都很喜欢。不要因此吵架阅读指南：不要在我文下提他人，也不要在他人文下提我，禁一切形式拉踩。不要从文案猜全文副本，凑四句打油诗的【。2022.12，已截图留档，盗梗必究——带个同诡异复苏的预收：《我在诡异世界当半仙》毕业第三年，考古系某大穷狗岑徐，最终还是继承祖业，当起了……天桥底下算命的【。谁知旗号刚挂，半夜门就给诡砸了，说他半路出家不是专业的不要岑徐：“？？？？”不是吧阿sir，坑蒙拐骗还需要根正苗红？专职艰难，房租难付，第n次被砸了摊的岑徐深吸一口气，撸起袖子对各路妖魔鬼怪露出核善微笑什么年头了还要非本科转行歧视，给他死！多年后，破黄河鬼渡船、平东湾沉尸滩、断三十年不相让阴阳脉血刀案……领一品符箓，掌多脉山头真传的诡道魁首岑徐对着一群迷弟迷妹们怅然道：“我是真不想成仙啊。”——毕竟成仙还要991991，一种新时代半仙冥府兼职机制，早九晚九，全年单休奈何阎王给他开出了高薪*“世上只有一种鬼，那就是穷鬼。”——岑徐。诡异民俗流，酷哥穷鬼谈恋爱【x】名门出身有老婆全靠有钱·攻x半道逆袭一路暴打各路江湖人马·受
133,文物不好惹,木苏里,原创-纯爱-近代现代-奇幻,完结,311373,8184833024,"['幻想空间', '灵异神怪', '情有独钟', '仙侠修真', '轻松']",2015-01-28,【暴躁嘴欠妖刀攻】X【文物修复员受】作为冷门专业毕业生，齐辰觉得能刷到个专业对口的招聘不容易。可当他点进去之后，他觉得自己打开的方式似乎有点不太对……招聘职位：文物修复员职位描述：1、擅长金属类文物修复技术者优先。2、心理承受能力强、处变不惊者优先3、有自卫能力且命硬者优先（很重要）齐辰：“……”最后那条什么鬼！！齐辰：蓝朋友是上古妖刀，开过刃的那种，怎么办？急！在线等！龙牙：你锉刀焊枪地往我身上招呼一通，这会儿知道哆嗦了？呵呵！
134,道医,拉棉花糖的兔子,原创-纯爱-近代现代-轻小说,完结,523127,8163194368,"['年下', '天之骄子', '打脸', '爽文', '轻松']",2019-04-30,道门有山、医、命、相、卜五术，以术弘道。周锦渊作为一名道家医者，会算命，更会救命。不过，当一个医生画符又炼丹，年纪还特别轻……他必须各种证明自己真！不是！骗子！……周锦渊：治病啊？稍等我画完这道符。患者（惊恐脸）：？？？对不起打扰了！指路排雷：每晚八点更新，金手指苏爽文，人型外挂在线打脸。
135,六爻,priest,原创-纯爱-架空历史-传奇,完结,529422,8150982144,"['仙侠修真', '正剧']",2014-06-13,修真故事，讲一个没落门派如何在臭美猴，捣蛋精，刻薄鬼，二百五和小杂毛的手里重振的故事CP为大师兄 年上~事儿精攻X尖酸刻薄受更新频率为每天十一点么么哒拜谢o<(*≧3≦)>ツ妹纸萧璃妹纸的封面~专栏链接七月六日周日VIP，当日三更，以后长评送分，独家发布谢绝转载，请转载的诸位尽快撤文了，谢谢，再次感谢支持正版~
136,恃宠,臣年,原创-言情-近代现代-爱情,完结,466113,8124726272,"['天之骄子', '婚恋', '甜文', '正剧']",2021-09-08,【实体已上市，微博@臣年年年。】秦梵被称为古典舞界的宝藏级女神，天赋出众，俨然是为了舞蹈而生。冷颜系脸蛋美得明目张胆，大家都以为她这样不食人间烟火的仙女，没有男人配得上。直到网上爆出来秦梵与一头银蓝发色的年轻男人携手同游。大家万万没想到，仙女居然喜欢这样桀骜不驯的类型。*谢砚礼作为北城名流之首，手腕常年缠着一串黑色佛珠，行事却毫无慈悲之心，手段雷厉风行，是圈子里最不能得罪的大人物。忽然有一天，这位素来端方冷情的大佬居然顶着一头放荡不羁的银蓝发色参加商业论坛。场面一度失控。记者：“请问谢总，是什么促使让您染了这样的发色？”谢砚礼：“哦，最近我太太喜欢这种风格。”*在娱乐圈，秦梵有个痞性男友的事情已经不是秘密，粉丝们哭过闹过脱粉过但都没用，人家依旧爱的肆无忌惮。直到秦梵微博发了一张高清照片。秦梵V：我的，绝不分手！照片.jpg照片上，男人眉眼俊美清冷，修长手指缠绕着一串佛珠，如神佛误入凡间。什么桀骜痞性，这分明是神仙下凡！***——愿为一盏灯，引你入凡尘。谢太太生于锦绣，长于荣华，与佛无缘，仅与我有缘。秦仙女x谢佛子                                                                 【同系列文《骄宠》已完结，古书画修复师x书香世家贵公子】
